house_num,id,year,working,agri,employed,workstyle
89,1,2011,1,0,0,999
89,1,2012,1,0,0,999
89,1,2013,1,0,0,999
89,1,2014,1,0,0,999
89,1,2015,1,0,0,999
89,2,2011,1,0,0,999
89,2,2012,1,0,0,999
89,2,2013,1,0,0,999
89,2,2014,1,0,0,999
89,2,2015,1,0,0,999
89,3,2011,1,0,0,999
89,3,2012,1,0,0,999
89,3,2013,1,0,0,999
89,3,2014,1,0,0,999
89,3,2015,1,0,0,999
89,4,2011,1,0,0,999
89,4,2012,1,0,0,999
89,4,2013,1,0,0,999
89,4,2014,1,0,0,999
89,4,2015,1,0,0,999
90,1,2011,1,0,0,0
90,1,2012,1,0,0,0
90,1,2013,1,0,0,0
90,1,2014,1,0,0,0
90,1,2015,1,0,0,0
90,2,2011,1,0,0,0
90,2,2012,1,0,0,0
90,2,2013,1,0,0,0
90,2,2014,1,0,0,0
90,2,2015,1,0,0,0
90,3,2011,1,0,0,0
90,3,2012,1,0,0,0
90,3,2013,1,0,0,0
90,3,2014,1,0,0,0
90,3,2015,1,0,0,0
90,4,2011,2,0,0,0
90,4,2012,2,0,0,0
90,4,2013,2,0,0,0
90,4,2014,1,0,0,0
90,4,2015,1,0,0,0
91,1,2011,3,0,0,0
91,1,2012,3,0,0,0
91,1,2013,3,0,0,0
91,1,2014,3,0,0,0
91,1,2015,3,0,0,0
91,2,2011,1,0,0,0
91,2,2012,1,0,0,0
91,2,2013,1,0,0,0
91,2,2014,1,0,0,0
91,2,2015,1,0,0,0
91,3,2011,2,999,999,999
91,3,2012,2,999,999,999
91,3,2013,1,0,0,0
91,3,2014,1,0,0,0
91,3,2015,1,0,0,0
91,4,2011,3,999,999,999
91,4,2012,2,999,999,999
91,4,2013,2,999,999,999
91,4,2014,2,999,999,999
91,4,2015,2,999,999,999
92,1,2011,1,0,0,0
92,1,2012,1,0,0,0
92,1,2013,1,0,0,0
92,1,2014,1,0,0,0
92,1,2015,1,0,0,0
92,2,2011,3,999,999,999
92,2,2012,3,999,999,999
92,2,2013,3,999,999,999
92,2,2014,3,999,999,999
92,2,2015,3,999,999,999
92,3,2011,1,0,0,0
92,3,2012,1,0,0,0
92,3,2013,1,0,0,0
92,3,2014,1,0,1,1
92,3,2015,1,0,1,1
92,4,2011,1,0,0,0
92,4,2012,1,0,0,0
92,4,2013,1,0,0,0
92,4,2014,1,0,0,0
92,4,2015,1,0,1,1
92,5,2011,3,999,999,999
92,5,2012,3,999,999,999
92,5,2013,3,999,999,999
92,5,2014,2,999,999,999
92,5,2015,2,999,999,999
134,1,2011,1,0,0,0
134,1,2012,1,0,0,0
134,1,2013,1,0,0,0
134,1,2014,1,0,0,0
134,1,2015,1,0,0,0
134,2,2011,1,0,0,0
134,2,2012,1,0,0,0
134,2,2013,1,0,0,0
134,2,2014,1,0,0,0
134,2,2015,1,0,0,0
134,3,2011,2,999,999,999
134,3,2012,1,0,0,0
134,3,2013,1,0,0,0
134,3,2014,1,0,0,0
134,3,2015,1,0,0,0
134,4,2011,2,999,999,999
134,4,2012,2,999,999,999
