house_num,id,family,gendar,age,household,married,ethnicity,elementary,junior,high,university,monestary,health,cold,chronic,together,hours
160,5,1,0,24,0,0,2,5,4,2,0,999,2,0,0,1,6
160,6,5,1,22,0,0,2,5,4,2,2,999,2,0,0,1,6
160,7,8,1,0,0,0,2,999,999,999,999,999,999,999,999,999,999
161,1,1,0,60,1,1,2,5,2,0,0,0,2,5,1,1,9
161,2,2,1,56,0,1,2,5,4,0,0,0,2,5,0,0,0
161,3,4,0,16,0,0,2,5,4,2,0,0,1,0,0,0,0
210,1,2,1,39,0,1,2,4,0,0,0,0,2,0,0,999,999
210,2,1,0,45,1,1,2,5,3,0,0,0,2,0,0,999,999
210,3,3,1,14,0,0,2,5,4,1,0,0,2,0,0,999,999
243,1,1,0,50,1,1,2,5,0,0,0,0,4,1,0,1,10
243,2,2,1,50,0,1,2,5,0,0,0,0,2,1,0,1,10
243,3,4,1,27,0,0,2,5,4,1,0,0,2,1,0,1,10
243,4,4,1,23,0,0,2,5,4,0,0,0,2,1,0,1,10
243,5,4,1,21,0,0,2,5,3,0,0,0,2,1,0,1,10
243,6,4,1,9,0,0,2,4,0,0,0,0,2,1,0,0,0
243,7,3,0,25,0,0,2,5,0,0,0,0,2,1,0,1,10
243,8,3,0,15,0,0,2,5,4,1,0,0,2,1,0,0,0
310,1,1,0,47,1,1,2,5,0,0,0,0,2,0,0,1,8
310,2,2,1,46,0,1,2,4,0,0,0,0,2,2,1,1,8
310,3,3,1,15,0,0,2,5,1,0,0,0,2,0,0,1,8
326,1,3,1,50,0,0,2,3,0,0,0,0,2,0,0,1,8
326,2,1,0,80,1,1,2,0,0,0,0,8,2,1,0,999,0
326,3,3,1,35,0,0,2,5,1,0,0,0,2,3,0,1,8
327,1,1,,52,1,1,2,5,0,0,0,0,2,0,0,1,8
327,2,2,,37,0,1,2,5,0,0,0,0,2,1,0,1,8
327,3,3,,12,0,0,2,5,2,0,0,0,2,0,0,999,0
328,1,1,,35,1,1,2,5,0,0,0,0,2,0,0,1,8
328,2,2,,31,1,0,2,5,0,0,0,0,2,0,0,1,8
328,3,3,,2,0,0,2,0,0,0,0,0,999,3,0,0,0
329,1,2,1,45,0,1,2,0,0,0,0,0,2,1,0,1,8
329,2,1,0,55,1,1,2,3,0,0,0,0,2,12,0,1,8
329,3,3,1,18,0,0,2,5,4,0,0,0,2,1,0,1,8
329,4,4,0,15,0,0,2,5,0,0,0,0,2,1,0,1,8
338,1,2,,40,0,1,2,5,0,0,0,0,1,2,0,1,8
338,2,1,,47,1,1,2,5,0,0,0,0,1,1,0,1,8
338,3,4,,21,0,0,2,5,4,0,0,0,1,2,0,0,8
338,4,3,,12,0,0,2,5,0,0,0,0,1,1,0,0,0
348,1,1,0,40,1,1,2,5,4,0,0,0,2,1,0,0,8
348,2,2,1,37,0,1,2,5,0,0,0,0,2,1,1,0,0
348,3,4,0,15,0,0,2,5,4,0,0,0,999,1,0,0,0
348,4,3,1,4,0,0,2,0,0,0,0,0,999,1,0,0,0
349,1,2,1,42,0,1,2,0,0,0,0,0,2,1,0,999,999
349,2,1,0,46,1,1,2,0,0,0,0,0,2,1,0,999,999
349,3,3,1,15,0,0,2,5,2,0,0,0,2,0,0,999,999
350,1,7,1,64,1,1,2,5,2,0,0,0,2,1,0,999,999
351,2,7,1,60,1,1,2,3,0,0,0,0,2,1,0,0,0
351,3,2,1,31,0,1,2,4,0,0,0,0,1,1,0,0,8
351,4,4,0,9,0,0,2,3,0,0,0,0,1,1,0,0,0
352,1,1,0,36,1,1,2,5,0,0,0,0,2,1,0,1,9
352,2,2,1,35,0,1,2,4,0,0,0,0,2,0,0,1,9
352,3,3,1,8,0,0,2,3,0,0,0,0,2,0,0,0,0
353,4,3,1,15,0,0,2,5,0,0,0,0,1,0,0,0,0
353,5,1,0,40,1,1,2,4,0,0,0,0,4,0,0,1,9
353,6,2,1,37,0,1,2,0,0,0,0,0,1,0,0,1,9
353,7,4,0,11,0,0,2,5,0,0,0,0,1,0,0,0,0
353,8,4,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0
375,1,1,0,47,1,1,2,0,0,0,0,4,2,0,0,0,6
375,2,2,1,46,0,1,2,5,4,0,0,0,4,3,1,0,0
438,1,1,0,37,1,1,2,5,4,2,0,2,2,0,0,1,8
438,2,2,1,40,0,1,2,5,0,0,0,0,2,0,0,1,8
438,3,3,1,12,0,0,2,5,3,0,0,0,2,2,0,0,0
439,1,1,0,59,1,1,2,0,0,0,0,4,2,0,0,1,8
439,2,2,1,52,0,1,2,0,0,0,0,4,2,0,0,0,0
439,3,4,0,32,0,0,2,5,1,0,0,0,2,0,0,1,8
440,1,1,0,41,1,1,2,5,0,0,0,0,2,0,0,0,7
440,2,2,1,35,0,1,2,5,0,0,0,0,2,0,0,0,8
440,3,3,1,4,0,0,2,1,0,0,0,0,2,0,0,0,0
75,1,2,1,41,0,1,2,0,0,0,0,4,2,1,0,1,6
75,2,1,0,43,1,1,2,0,0,0,0,4,2,0,0,1,8
75,3,4,0,18,0,0,2,5,0,0,0,0,2,0,0,1,8
75,4,3,1,11,0,0,2,5,1,0,0,0,2,0,0,0,0
75,5,3,1,8,0,0,2,2,0,0,0,0,2,0,0,0,0
76,1,1,0,53,1,1,2,0,0,0,0,5,2,3,0,1,5
76,1,3,1,17,0,0,2,5,0,0,0,0,2,0,0,1,5
78,1,1,0,34,1,1,2,5,0,0,0,0,2,5,0,999,0
78,2,2,1,30,0,1,2,3,0,0,0,0,2,5,0,999,0
78,3,3,1,0,0,0,2,0,0,0,0,0,2,6,0,,
78,1,1,0,34,1,1,2,5,0,0,0,0,2,5,0,0,0
78,2,2,1,30,0,1,2,3,0,0,0,0,2,5,0,0,0
78,3,3,1,0,0,0,2,999,999,999,999,0,2,6,0,0,0
127,1,6,0,61,1,0,2,5,3,2,0,0,2,2,0,1,9
127,2,5,1,59,0,0,2,4,0,0,0,0,2,2,0,1,2
128,1,2,1,70,0,1,2,5,0,0,0,0,2,4,0,1,4
128,2,1,0,74,1,1,2,5,0,0,0,0,2,2,0,1,2
128,3,8,0,42,0,1,2,6,0,0,0,0,2,2,0,1,8
128,4,8,0,15,0,0,2,5,1,0,0,0,2,2,0,1,8
128,5,8,0,15,0,0,2,5,1,0,0,0,2,2,0,1,8
128,6,3,1,40,0,1,2,5,0,0,0,0,2,2,0,1,3
