house_num,unit1,unit2,unit3,unit4,dist_nawaday,dist_exceptnawaday,dist_mainroad,dist_pyae,belong,howmanyyears,switch,ratoon,wall,roof,onefloor,bicycle,motor,car,chiken,pig,cow,fan,refri,computer,mobile,radio,tv,planning_for_sugar,low_price,transport,labou_cost,wait_factory,attractive_crop
129,999,999,999,999,999,999,2,12,1,15,999,999,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
129,999,999,999,999,999,999,2,12,1,15,999,999,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,999,999,999,999,6
157,3,4,999,999,25,25,0,14,1,998,0,1,4,4,1,1,1,0,0,0,2,1,1,0,2,0,1,1,0,1,1,0,6
158,3,4,3,3,56,20,20,50,1,998,0,1,2,3,1,0,1,0,4,0,3,1,0,0,0,1,1,1,0,1,1,0,2
173,999,999,999,999,999,999,0,20,0,999,0,0,2,3,1,2,1,0,9,0,2,0,0,0,1,1,0,0,0,1,0,1,6
174,999,999,999,999,20,7,3,15,1,998,0,999,4,3,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,6
176,999,999,999,999,999,12,1.5,4,1,58,0,999,4,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,5
177,999,4,999,999,6,5,0,4,1,4,0,1,3,3,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,6
178,3,999,999,999,14,5,1,12,1,44,1,999,2.4,3,1,2,2,0,1,0,2,0,0,0,2,1,1,0,1,1,1,0,6
179,3,4,999,999,25,6,0,18,1,48,1,1,4,3,1,0,2,0,0,0,0,1,0,0,3,1,1,1,1,1,1,1,1
180,3,4,3,999,38,6,1,15,1,46,0,1,4,3,1,2,1,0,1,0,3,1,0,0,2,1,1,1,1,1,1,1,6
193,3,999,999,999,14,12,12,11,1,40,0,999,4,3,1,0,1,0,0,0,3,0,0,0,1,0,1,0,0,1,1,0,6
194,3,999,999,999,15,7,2,12,1,10,0,999,2,3,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
195,3,4,3,3,24,10,1,15,1,40,1,1,3,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
233,3,4,999,999,19,999,0.0568182,35,1,998,0,1,2,3,1,0,1,0,10,2,2,0,0,0,1,1,1,0,1,1,1,1,1
4,3,4,3,3,4,30,1,9,1,30,0,1,2,3,1,1,0,0,3,0,2,0,0,0,1,1,1,0,0,1,1,0,4
5,3,4,3,3,6,20,1.5,8,1,30,0,1,2,3,1,1,1,0,30,2,8,0,0,0,1,0,1,0,0,1,0,0,4
87,999,999,999,999,999,999,999,999,999,999,0,999,3,3,1,1,1,0,0,0,0,1,0,0,1,0,1,999,0,0,0,0,999
88,999,999,3,3,2,20,7,2.5,1,20,0,999,2,3,0,1,0,0,0,0,0,0,0,0,1,1,1,999,0,0,0,0,3
206,999,999,999,999,14,7,2,11,1,998,0,999,4,3,0,2,2,0,20,8,0,1,1,0,2,1,1,1,0,0,0,1,2
207,999,999,999,999,14,7,0,11,1,998,999,999,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,6
208,3,4,3,3,25,5,0.5,12,1,998,0,1,4,3,0,1,1,0,20,0,2,0,0,0,2,1,1,0,0,1,1,1,1
209,999,999,999,999,999,999,999,999,999,999,999,999,4,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,999
245,3,4,999,999,23,8,0.25,18,1,40,1,2,4,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1
246,3,4,999,999,29,10,0.5,18,1,998,1,2,2,1,1,0,0,0,30,3,2,0,0,0,2,1,1,1,0,1,1,0,1
247,3,4,999,999,29,15,1,19,1,20,1,1,4,3,0,1,1,0,5,2,2,0,0,0,2,0,1,1,0,1,1,0,1
248,3,999,999,999,27,15,1,22,1,12,999,999,2,1,1,0,0,0,10,1,0,0,0,0,1,0,0,999,0,1,1,0,1
249,999,999,3,3,27,35,4,8,1,23,0,999,2,3,1,1,2,0,40,3,4,0,0,0,3,0,1,1,1,1,1,0,6
275,999,999,999,999,999,999,999,999,999,999,999,999,2,3,1,0,0,0,15,0,0,0,0,0,0,0,0,0,999,999,999,999,999
276,999,999,999,999,999,999,999,999,0,999,999,999,2,3,1,0,1,0,5,0,2,0,0,0,3,0,0,1,0,1,0,0,1
278,3,4,999,999,16,7,2,19,1,998,1,1,4,3,1,0,1,0,0,0,2,0,0,0,2,0,1,1,0,1,0,0,2
279,3,4,999,999,17,8,2,18,1,998,1,2,4,3,1,0,0,0,15,1,0,0,0,0,2,0,0,0,999,999,999,999,1
280,3,999,3,999,15,12,0,19,1,10,0,0,2,3,0,0,1,0,13,1,2,0,0,0,1,0,1,0,1,1,1,0,1
311,999,999,999,999,999,999,999,999,999,999,999,999,2,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,999
312,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,999
314,3,999,3,999,32,40,4,24,1,13,0,999,2,3,1,0,1,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0,1
315,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,15,4,0,0,0,0,2,1,0,0,0,0,0,0,1
334,3,999,999,999,17,23,1,21,1,40,999,999,2,1,3,0,1,0,15,1,0,0,0,0,1,1,1,0,999,999,999,999,1
366,999,999,999,999,14,35,0,6,1,30,0,999,2,3,0,0,0,0,30,0,0,0,0,0,1,0,1,0,0,1,0,0,6
367,3,4,3,3,26,35,0,7,1,7,0,1,2,3,1,0,1,0,30,0,2,0,0,0,3,0,0,1,1,1,1,1,2
368,3,999,3,3,17,30,0.284,9,1,21,0,999,3,3,1,0,1,0,0,0,2,0,0,0,3,0,1,0,0,1,1,1,1
384,999,999,999,999,999,999,999,999,0,999,999,999,2,3,0,1,1,0,0,0,2,0,0,0,2,0,1,0,999,999,999,999,1
385,3,2,3,999,9,30,0,9,1,7,1,0,2,1,0,1,1,0,1,8,2,0,0,0,1,0,1,0,0,1,1,0,1
391,3,4,3,3,26,52,6,7.5,1,10,0,2,2,1,0,0,2,0,35,1,2,0,0,0,1,0,0,1,999,1,999,999,2
396,3,999,999,3,27,999,3,8,1,5,0,0,3,4,1,1,1,0,0,0,3,0,0,0,1,0,1,0,999,999,999,999,4
397,3,999,999,3,80,999,4,8,1,10,0,0,2,4,1,1,1,0,18,1,3,0,0,0,1,0,1,999,999,999,999,999,1
398,3,999,999,999,26,999,7,3.5,1,2,0,0,2,1,1,0,0,0,18,0,0,0,0,0,1,0,0,999,999,999,999,999,1
399,3,999,3,3,24,999,12,15,1,8,0,0,2,1,0,1,0,0,13,0,2,0,0,0,0,0,0,1,999,999,999,999,6
428,999,999,999,999,999,999,999,999,999,999,999,999,2,3,0,2,0,0,30,2,0,0,0,0,1,0,1,0,0,0,0,0,999
429,3,4,999,999,6,20,0.5,10,1,60,1,0,4,3,1,1,1,0,0,0,2,0,0,0,2,1,1,0,1,1,1,0,1
430,3,999,999,999,3,6,1.5,8,1,60,0,0,4,3,1,0,1,0,0,0,0,2,0,0,3,1,1,0,0,1,1,0,5
431,3,999,999,999,3,6,1.5,8,1,60,0,0,4,3,1,0,1,0,0,0,0,1,0,0,3,1,1,0,0,1,1,0,5
137,3,4,3,999,28,10,2,11,1,998,0,1,4,3,1,2,1,0,25,0,,0,1,0,2,1,1,1,1,1,0,0,2
138,3,999,3,999,25,14,3,11,1,15,0,999,1,3,1,1,0,0,10,0,2,0,0,0,2,0,1,0,1,1,0,0,1
139,3,999,999,999,25,13,0,12,1,998,0,999,4,3,1,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,1,1,1
140,3,999,3,999,23,10,1,12,1,998,0,999,2,3,1,0,1,0,5,0,0,0,0,0,1,0,1,0,0,1,1,0,1
141,3,4,999,999,35,8,0,12,1,998,0,2,4,3,1,1,2,0,0,4,3,1,0,0,3,1,1,1,0,0,0,1,2
142,3,4,999,999,25,9,3,14,1,998,1,1.5,3,3,0,1,1,0,0,0,0,1,1,0,2,1,1,0,,0,1,1,2
181,3,999,3,999,30,5,2,14,1,30,0,999,4,5,1,1,1,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1
182,3,999,999,3,13,5,2,14,1,10,0,999,4,5,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
183,999,999,999,999,28,6,2,12,1,5,0,999,2,5,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6
184,999,999,999,999,25,10,7,15,1,8,0,0,2,5,1,2,1,0,15,3,2,0,0,0,1,1,1,0,0,1,1,0,1
185,999,999,999,999,25,4,2,12,1,2,0,999,4,5,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
211,3,4,3,3,12,5,1.5,12,1,998,0,1,2,3,1,1,1,0,0,0,2,1,0,0,2,1,1,0,0,1,1,0,1
212,3,4,3,3,30,18,7,27,1,998,0,1,2,3,1,2,1,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1
213,999,999,999,999,24,10,0,11,1,998,0,999,2,3,1,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2
214,3,4,3,3,28,7,0,14,1,998,1,999,3,3,1,1,3,0,2.5,0,2,0,1,0,4,1,1,0,0,1,1,0,1
255,3,4,999,999,30,35,1,35,1,30,0,2,4,3,1,0,2,0,5,2,3,0,0,0,1,0,1,0,0,0,1,0,1
270,999,999,999,999,999,999,999,999,999,999,999,999,2,4,1,1,0,0,15,2,0,0,0,0,1,1,1,0,999,999,999,999,0
271,3,999,999,999,11,999,2,20,1,40,0,0,2,4,1,1,0,0,30,1,0,0,0,0,1,1,1,0,1,1,1,0,1
272,3,4,999,999,15,10,5,20,1,20,1,2,4,4,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,1
273,3,999,999,999,29,999,5,20,1,20,0,0,4,4,1,1,1,0,30,2,0,0,0,0,1,1,1,0,0,0,0,0,1
274,3,4,999,999,29,10,5,27,1,20,1,2,4,4,0,0,2,0,50,0,0,0,0,1,1,1,1,0,0,1,1,0,1
316,3,4,999,999,32,40,4,24,1,998,1,1,4,3,1,1,1,0,5,2,2,0,0,0,1,0,1,1,1,1,1,0,2
317,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
339,3,999,999,999,30,15,5,40,1,20,999,999,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,999,999,999,999,1
340,3,999,999,999,30,15,0.5,40,1,8,999,999,2,3,0,0,1,0,5,0,7,0,0,0,1,0,1,0,999,999,999,999,1
341,3,999,999,999,30,8,15,30,1,25,999,999,2,3,0,0,0,0,17,0,0,0,0,0,0,1,0,0,999,999,999,999,1
342,999,999,999,999,999,999,999,999,999,999,999,999,2,3,0,0,0,0,15,0,0,0,0,0,1,0,0,999,999,999,999,999,999
343,3,999,999,999,30,15,1,35,1,15,999,999,2,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0,999,999,999,999,1
345,3,999,3,3,14,5,4,14,1,20,0,999,4,4,1,0,1,0,0,3,11,0,0,0,1,1,1,0,1,0,0,0,4
346,999,999,999,999,999,999,999,999,999,999,999,999,2,4,0,1,1,0,5,2,0,0,0,0,0,0,1,999,999,999,999,999,999
347,999,999,999,999,999,999,999,999,999,999,999,999,2,4,1,0,0,0,15,1,0,0,0,0,1,0,1,999,999,999,999,999,999
354,3,999,3,3,24,20,1,20,1,998,0,999,2,3,0,0,1,0,5,1,0,0,0,0,0,0,1,1,0,1,0,0,1
355,3,999,3,3,25,28,0.5,20,1,998,999,999,2,3,0,0,1,0,0,2,0,0,0,0,2,1,0,1,0,1,0,0,2
400,3,999,3,3,25,28,0.5,20,1,60,0,999,2,3,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1
401,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
402,999,999,999,999,999,999,999,999,999,999,999,999,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,3,999,999,999,24,16,1,22,1,998,0,999,2,3,1,0,2,0,30,1,0,0,0,0,1,0,1,0,0,1,0,1,1
265,3,999,999,999,24,16,0,22,1,998,999,999,4,3,1,0,0,0,15,1,2,0,0,0,1,0,1,0,0,1,1,1,1
266,3,999,999,999,24,16,0,22,1,998,999,999,2,3,1,1,1,0,5,1,0,0,0,0,2,0,1,0,0,0,0,0,1
267,999,999,999,999,24,16,0,22,0,999,999,999,2,1,1,1,1,0,5,0,0,0,0,0,1,1,0,999,0,1,0,0,1
268,999,999,999,999,24,16,0,22,999,999,999,999,2,3,1,0,1,0,10,2,0,0,0,0,1,0,1,0,0,0,0,0,1
175,3,3,999,999,29,20,5,27,1,10,1,1,4,3,1,0,2,2,0,2,2,1,1,0,1,1,1,1,1,1,0,1,1
299,3,999,999,999,13,10,0,15,1,998,0,999,4,3,2,2,1,0,10,2,2,0,0,0,1,1,1,1,0,1,1,0,1
300,3,999,999,999,999,999,0.5,999,1,998,0,999,3,3,1,0,1,0,4,2,2,0,0,0,1,0,1,0,0,0,0,0,1
301,3,999,999,999,999,5,0,999,1,13,0,999,3,1,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1
302,3,999,999,999,999,999,0,999,1,998,0,999,3,1,1,1,0,0,50,0,0,0,0,0,1,1,1,1,0,1,0,0,1
409,999,999,999,999,10,21,2,9,999,999,999,999,2,3,0,1,1,0,7,0,0,0,0,0,1,0,1,0,0,1,0,1,999
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,999,999,999,999,999,999,999,999,999,999,999,999,2,3,0,1,1,0,30,2,0,0,0,0,2,1,1,0,0,1,0,1,1
433,999,999,999,999,999,999,999,999,999,999,999,999,2,3,1,0,1,0,25,0,1,1,0,0,0,0,0,1,0,1,0,1,1
434,3,999,999,999,8,12,0,7,1,22,0,999,4,3,1,2,2,0,5,0,2,0,0,0,2,0,1,1,0,1,1,0,5
435,3,999,999,999,8,12,0,7,1,998,0,999,2,3,1,1,1,0,0,0,2,0,0,0,3,1,1,0,0,1,1,0,1
436,999,999,999,999,999,999,999,999,999,999,999,999,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
32,3,4,3,3,1,999,0.5,2,1,40,0,1,3,3,1,1,1,0,0,0,4,1,0,0,1,1,1,1,0,0,0,0,2
33,3,4,999,999,1.5,50,0,4,1,50,1,1,3,3,1,0,1,0,0,0,4,1,0,0,1,1,1,1,1,0,0,1,2
33,3,4,999,3,4,25,8,10,1,20,0,1,4,3,1,1,2,0,20,0,5,0,0,0,1,0,1,1,0,1,1,0,2
34,3,999,999,3,8,25,4,10,1,40,0,999,2,3,1,2,0,0,15,0,4,0,0,0,0,1,0,1,999,999,999,999,2
35,3,4,999,3,4,25,8,10,1,11,1,1,2,3,1,0,0,0,20,0,4,0,0,0,0,1,0,1,0,1,1,0,2
36,3,4,999,3,4,25,8,10,1,40,0,1,2,1,1,0,1,0,20,0,4,0,0,0,1,0,0,1,0,1,1,0,2
37,999,4,3,3,1,30,0.5,2,1,15,0,2,2,3,1,1,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,2
38,999,4,3,3,3,15,0.5,4,1,15,0,1,2,3,1,1,1,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,2
39,999,4,3,3,2,18,1,2,1,998,0,1,1,3,1,0,1,0,0,0,3,0,0,0,2,0,1,0,0,1,0,1,3
40,999,999,999,999,999,999,999,999,999,999,999,999,2,1,1,0,0,0,17,0,2,0,0,0,0,1,0,999,999,999,999,999,999
41,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,999,999,999,999,999,999
93,999,999,3,999,0.5,998,0,4,1,2,0,999,2,3,1,0,0,0,0,0,7,0,0,0,1,0,1,1,999,999,999,999,2
94,999,999,999,999,999,999,999,999,999,999,999,999,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,999,999,999,999,999,999
95,3,4,3,3,2,20,1,0.5,1,10,0,2,2,1,1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,2
96,3,4,3,3,1,20,1,3,1,8,0,1,2,3,0,0,0,0,4,0,2,0,0,0,1,0,1,1,0,0,1,1,2
105,3,4,3,3,4,25,2,6,1,998,0,1,3,3,1,1,1,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,2
234,3,4,999,999,20,35,0,22,1,30,1,2,4,3,1,0,2,0,30,3,4,0,0,0,1,1,1,1,0,1,1,0,1
235,3,3,999,999,28,20,1,30,1,5,1,1,4,3,1,1,2,1,50,3,2,0,0,0,1,0,1,1,0,1,1,1,1
236,3,999,999,999,13,16,1,19,1,14,0,999,4,3,1,1,1,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,1
237,3,3,999,999,29,35,3,35,1,3,0,999,4,3,1,1,1,0,30,1,3,0,0,0,1,1,1,0,0,1,1,0,1
240,3,999,999,999,20,10,0.5,24,1,30,0,999,4,3,0,1,1,0,20,8,0,0,0,0,2,1,1,1,999,999,999,999,2
344,3,4,999,3,26,40,10,22,1,35,0,1,2,3,0,1,1,1,10,3,3,0,0,0,1,0,0,1,0,1,0,0,2
389,3,4,3,3,25,35,10,12,1,20,0,999,2,3,1,0,1,0,20,4,6,0,0,0,2,0,0,1,0,0,0,0,2
392,3,4,3,3,26,40,10,20,1,31,0,2,2,3,0,1,1,0,3,1,6,0,0,0,1,1,1,1,0,1,0,0,2
393,999,999,3,3,26,44,12,24,1,5,0,999,2,3,0,0,1,0,0,1,5,0,0,0,1,0,1,0,0,1,0,0,5
394,999,999,999,999,999,999,999,999,999,999,999,999,2,1,0,0,0,0,5,1,0,0,0,0,0,1,0,999,999,999,999,999,999
395,999,999,3,999,28,40,4,25,1,40,999,999,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,999,999,999,999,999,999
444,999,999,999,999,999,999,999,999,999,999,999,999,2,3,1,0,1,0,0,0,0,0,0,0,1,1,0,999,999,999,999,999,999
446,3,999,999,999,5,999,2,7,1,998,999,999,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,999,999,999,999,999,999
1,3,999,999,3,0.5,30,0,4,1,23,0,999,4,3,1,1,1,0,15,0,3,0,0,0,1,0,1,0,0,1,1,0,1
2,3,999,999,3,5,22,0.5,7,1,7,0,999,4,3,1,0,1,0,15,0,2,0,0,0,0,1,1,0,0,1,1,1,1
