house_num,cook,peanut,sesami,soybean,palm,mixed,other,peanut_price,sesami_price,soybean_price,palm_price,mixed_price,other_price,peanut_amount,sesami_amount,soybean_amount,palm_amount,mixed_amount,other_amount,price_healthy,produce_oil,meal,masmedia,health_info,smoking,madical_person,peanut,sesami,palm
176,1,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,1,0,2,0,999,0,0,3,3,3
177,1,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,1,0,3,0,999,0,0,3,3,3
178,2,1,0,0,0,0,0,6000,0,0,0,0,0,10,0,0,0,0,0,0,0,3,1,1,0,1,1,3,3
179,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,999,0,0,3,3,3
180,3,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,1,0,3,0,999,0,0,3,3,3
193,2,0,1,0,0,0,0,0,5500,0,0,0,0,0,1.5,0,0,0,0,1,0,3,1,1,0,1,3,3,3
194,4,0,0,0,0,1,0,0,0,0,0,3200,0,0,0,0,0,2.5,0,1,0,3,1,1,0,0,3,3,3
195,4,0,0,0,0,1,0,0,0,0,0,7000,0,0,0,0,0,2,0,1,0,3,0,999,0,0,3,3,3
233,3,0,1,0,0,0,0,0,3000,0,0,0,0,0,6,0,0,0,0,1,0,3,0,0,0,0,3,3,2
4,1,1,0,0,0,0,0,5000,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,1,1,0,3,3,3
5,8,0,1,0,0,0,0,0,4500,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,2,2,3
87,2,1,0,0,0,0,0,3800,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,999,1,0,2,3,3
88,1,1,0,0,0,0,0,2500,0,0,0,0,0,3.5,0,0,0,0,0,1,0,2,0,1,0,0,3,3,3
206,2,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,999,0,1,1,1 ,3
207,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,0,999,0,0,1,1 ,3
208,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,1,1 ,3
209,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,1.5,0,0,0,0,0,0,3,0,999,0,0,3,3,3
245,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,3,0,0,0,0,1,0,3,0,1,1,0,3,3,3
246,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,1,1,0,0,1,2,3
247,3,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,1,0,3,1,1,0,0,1,1,3
248,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,1,0,1,0,3,0,999,0,0,1,1,1
249,1,0,1,0,0,0,0,0,2800,0,0,0,0,0,3,0,0,0,0,1,0,3,0,999,0,0,3,3,3
275,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,2,0,1,0,3,0,999,0,0,1,2,2
276,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,1,0,3,0,999,0,0,2,2,3
278,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,5,0,1,0,3,0,999,0,0,1,2,1
279,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,999,0,0,1,1,1
280,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,999,0,0,2,2,2
311,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,1,0,3,0,999,1,0,3,3,3
312,0,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,1,0,3,1,1,0,0,1,1,1
314,1,0,1,0,0,0,0,0,5000,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,3,3,3
315,1,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,1,0,3,0,0,0,0,3,3,3
334,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,1,0,3,0,999,0,0,1,1,3
366,1,0,0,0,0,1,0,0,0,0,0,2600,0,0,0,0,0,1,0,1,0,3,1,1,1,0,3,3,3
367,1,1,1,0,0,0,0,3000,4500,0,0,0,0,1,1,0,0,0,0,1,0,2,0,999,0,0,3,3,2
368,2,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,3,0,999,0,0,2,2,3
384,2,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,1,2,3
385,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,1,2,2
391,3,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,1,0,3,0,1,1,0,3,3,3
396,1,0,0,0,0,1,0,0,0,0,0,2400,0,0,0,0,0,3,0,1,0,3,0,0,1,0,2,2,3
397,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,4,0,1,0,3,0,0,1,0,2,2,2
398,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,3,0,0,1,0,2,3,3
399,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,1,0,0,3,3,2
428,1,1,0,0,0,0,0,3600,0,0,0,0,0,3.5,0,0,0,0,0,0,0,3,1,1,0,0,2,1,3
429,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,0,0,1,0,3,1,1,0,0,3,3,3
430,1,1,0,0,0,0,0,5000,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,3,3,3
431,1,0,1,0,0,0,0,0,2600,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,3,3,3
137,2,0,0,0,0,0,1,0,0,0,0,0,4000,0,0,0,0,0,5,1,0,3,1,1,0,0,2,2,3
138,2,0,0,0,0,0,1,0,0,0,0,0,4000,0,0,0,0,0,1,1,0,3,0,1,0,0,1,2,3
139,2,0,0,0,0,0,1,0,0,0,0,0,4000,0,0,0,0,0,3,1,0,3,1,1,0,0,1,1,3
140,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,0,0,3,3,3
141,2,0,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,6,0,0,3,1,1,1,0,1,1,3
142,2,0,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,1.5,1,0,3,1,1,0,0,2,2,3
181,3,1,1,0,0,0,0,5000,3000,0,0,0,0,3,1,0,0,0,0,1,0,3,1,1,0,0,2,2,2
182,1,1,0,0,0,0,0,5500,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,1,0,0,3,3,3
183,2,1,1,0,1,0,0,5000,6000,0,3000,0,0,0.25,0.25,0,0.5,0,0,0,0,3,0,1,0,0,2,2,3
184,1,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,2,3,3
185,1,0,1,0,1,0,0,0,3000,0,3000,0,0,0,3,0,1,0,0,0,0,3,0,1,0,0,2,2,2
211,2,1,1,0,0,1,0,3000,3000,0,0,3000,0,3,3,0,0,1,0,1,3.083333333,3,1,1,0,0,1,1,3
212,1,1,0,0,0,0,0,6000,0,0,0,0,0,3,0,0,0,0,0,1,0,3,1,1,0,0,3,3,3
213,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,1,0,1,0,3,0,999,0,0,1,2,3
214,2,0,0,0,0,1,0,0,0,0,0,5000,0,0,0,0,0,5,0,1,0,3,1,1,0,0,2,2,3
255,3,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,0,0,3,0,999,0,0,3,3,3
270,2,0,0,0,0,1,0,0,0,0,0,1000,0,0,0,0,0,5,0,1,0,3,0,0,1,0,1,1,1
271,2,0,1,0,0,0,0,0,2200,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,2,2,2
272,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,0,0,3,0,0,1,0,2,2,3
273,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,1,0,3,0,0,1,0,2,2,2
